code,name,in_colorectal_tree,relation_types,relation_groups,nci_url
C40464,Turcot Syndrome Type 2,N,Disease_May_Have_Associated_Disease,role,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C40464
C26341,Tyrosine-Protein Phosphatase Non-Receptor Type 12,N,Gene_Product_Malfunction_Associated_With_Disease,role,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C26341
C2952,Ulcerative Colitis,N,Disease_Has_Associated_Disease,role,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C2952
C37085,Undifferentiated Carcinoma Cell,N,Disease_Has_Abnormal_Cell,role,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C37085
C36134,Undifferentiated Lesion,N,Disease_Has_Finding,role,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C36134
C129654,Unresectable Digestive System Adenocarcinoma,N,is_parent_of,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C129654
C155903,Unresectable Digestive System Carcinoma,N,is_parent_of,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C155903
C36165,Unresectable Mass,N,Disease_Has_Finding,role,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C36165
C224628,Unresectable Squamous Cell Carcinoma,N,is_parent_of,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C224628
C4142,Villous Adenocarcinoma,N,is_parent_of,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C4142
C36121,Villous Pattern,N,Disease_Has_Finding,role,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C36121
C20903,WNT3 Gene,N,Gene_Associated_With_Disease,role,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C20903
C52996,WNT3 wt Allele,N,Gene_Associated_With_Disease,role,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C52996
C3445,Weight Loss,N,Disease_May_Have_Finding,role,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C3445
C210977,Well Differentiated Adenocarcinoma,N,is_parent_of,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C210977
C36133,Well Differentiated Lesion,N,Disease_Has_Finding,role,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C36133
C155861,Well Differentiated Neuroendocrine Lesion,N,Disease_Excludes_Finding,role,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C155861
C63597,XELOX Regimen,N,Regimen_Has_Accepted_Use_For_Disease,role,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C63597
C193249,mCode Cancer Disorder Value Set,N,Concept_In_Subset,association,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C193249
C193218,mCode Carcinoma In-Situ Disorder Value Set,N,Concept_In_Subset,association,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C193218
C193177,mCode Elixhauser Malignant Solid Tumors in Situ Value Set,N,Concept_In_Subset,association,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C193177
C193248,mCode Primary Cancer Disorder Value Set,N,Concept_In_Subset,association,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C193248
C193006,mCode Terminology,N,Concept_In_Subset,association,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C193006
C204718,mFOLFOX7 Regimen,N,Regimen_Has_Accepted_Use_For_Disease,role,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C204718
C213378,Adenocarcinoma in Colon Adenomatous Polyp,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C213378
C213379,Adenocarcinoma in Rectal Adenomatous Polyp,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C213379
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C27413
C162152,Advanced Colon Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C162152
C167238,Advanced Colon Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C167238
