source_code,source_name,relation_code,relation_type,target_code,target_name,relation_group,direction
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R105,Disease_Has_Abnormal_Cell,C36773,Adenocarcinoma Cell,role,out
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R105,Disease_Has_Abnormal_Cell,C12917,Malignant Cell,role,out
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R105,Disease_Has_Abnormal_Cell,C36779,Malignant Epithelial Cell,role,out
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R105,Disease_Has_Abnormal_Cell,C12922,Neoplastic Cell,role,out
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R105,Disease_Has_Abnormal_Cell,C36753,Neoplastic Epithelial Cell,role,out
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R105,Disease_Has_Abnormal_Cell,C36763,Neoplastic Glandular Cell,role,out
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R100,Disease_Has_Associated_Anatomic_Site,C12382,Colon,role,out
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R100,Disease_Has_Associated_Anatomic_Site,C54189,Colorectal Region,role,out
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R100,Disease_Has_Associated_Anatomic_Site,C12378,Digestive System,role,out
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R100,Disease_Has_Associated_Anatomic_Site,C12736,Intestine,role,out
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R100,Disease_Has_Associated_Anatomic_Site,C12379,Large Intestine,role,out
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R126,Disease_Has_Associated_Disease,C3864,Colon Adenoma,role,out
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R108,Disease_Has_Finding,C54172,Carcinomatous Component Present,role,out
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R108,Disease_Has_Finding,C53596,Epithelial Component Present,role,out
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R108,Disease_Has_Finding,C60663,Intramucosal Lesion,role,out
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R108,Disease_Has_Finding,C36115,Malignant Cellular Infiltrate,role,out
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R104,Disease_Has_Normal_Cell_Origin,C12578,Epithelial Cell,role,out
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R104,Disease_Has_Normal_Cell_Origin,C33923,Glandular Cell,role,out
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R103,Disease_Has_Normal_Tissue_Origin,C45714,Epithelial Tissue,role,out
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R103,Disease_Has_Normal_Tissue_Origin,C43370,Glandular Epithelium,role,out
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R103,Disease_Has_Normal_Tissue_Origin,C32926,Large Intestinal Mucosa,role,out
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R101,Disease_Has_Primary_Anatomic_Site,C12382,Colon,role,out
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R101,Disease_Has_Primary_Anatomic_Site,C54189,Colorectal Region,role,out
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R101,Disease_Has_Primary_Anatomic_Site,C12378,Digestive System,role,out
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R176,Disease_Mapped_To_Gene,C17567,APC Gene,role,out
