code,name,active,concept_status,semantic_types,umls_cui,relation_types,relation_groups,definitions,synonym_count,nci_url
C136251,FOLFIRI-Ramucirumab Regimen,True,DEFAULT,Therapeutic or Preventive Procedure,,Regimen_Has_Accepted_Use_For_Disease,role,"A regimen consisting of leucovorin, fluorouracil and irinotecan (FOLFIRI), plus ramucirumab that is used for the treatment of appendiceal adenocarcinoma, colon, esophageal and esophagogastric junction, gastric and rectal cancers.",13,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C136251
C136250,FOLFIRI-Ziv-aflibercept Regimen,True,DEFAULT,Therapeutic or Preventive Procedure,,Regimen_Has_Accepted_Use_For_Disease,role,"A regimen consisting of leucovorin, fluorouracil and irinotecan (FOLFIRI), plus ziv-aflibercept that is used for the treatment of appendiceal adenocarcinoma and colorectal cancer.",13,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C136250
C63590,FOLFOX-4 Regimen,True,DEFAULT,Therapeutic or Preventive Procedure,C1880659,Regimen_Has_Accepted_Use_For_Disease,role,"A regimen comsisting of 5-fluorouracil, leucovorin and oxaliplatin, given on a 14-day cycle, that can be used for the treatment of ampullary and pancreatic adenocarcinoma, and biliary tract, esophageal and esophagogastric junction, gastric, and colorectal cancers.",4,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C63590
C63591,FOLFOX-6 Regimen,True,DEFAULT,Therapeutic or Preventive Procedure,C1880660,Regimen_Has_Accepted_Use_For_Disease,role,"A regimen consisting of leucovorin, infusional fluorouracil and oxaliplatin used for the treatment of advanced-stage and metastatic colorectal cancer. This particular version differs from the original FOLFOX (FOLFOX4) regimen with regards to both the doses and the administration of the three-drug combination. An alternative version, referred to as modified-FOLFOX6, is also used in clinical practice.",6,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C63591
C63592,FOLFOX-7 Regimen,True,DEFAULT,Therapeutic or Preventive Procedure,C1880661,Regimen_Has_Accepted_Use_For_Disease,role,"A regimen consisting of leucovorin, infusional fluorouracil and oxaliplatin used for the treatment of advanced-stage and metastatic colorectal cancer. This version differs from the original FOLFOX (FOLFOX4) regimen with regards to both the doses and the administration of the three-drug combination.",3,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C63592
C136248,FOLFOX-Bevacizumab Regimen,True,DEFAULT,Therapeutic or Preventive Procedure,,Regimen_Has_Accepted_Use_For_Disease,role,"A regimen consisting of leucovorin, fluorouracil and oxaliplatin (FOLFOX), plus bevacizumab that is used for the treatment of colon cancer and mucinous neoplasms of the ovary.",20,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C136248
C136246,FOLFOX-Cetuximab Regimen,True,DEFAULT,Therapeutic or Preventive Procedure,,Regimen_Has_Accepted_Use_For_Disease,role,"A regimen consisting of leucovorin, fluorouracil and oxaliplatin (FOLFOX), plus cetuximab that is used for the treatment of colon cancer.",10,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C136246
C215149,FOLFOX-Cetuximab/Encorafenib Regimen,True,DEFAULT,Therapeutic or Preventive Procedure,,Regimen_Has_Accepted_Use_For_Disease,role,"A regimen consisting of leucovorin, fluorouracil and oxaliplatin (FOLFOX) plus cetuximab and encorafenib that is used for the treatment of colorectal cancer, appendiceal cancer, and small bowel adenocarcinoma.",19,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C215149
C215162,FOLFOX-Encorafenib/Panitumumab Regimen,True,DEFAULT,Therapeutic or Preventive Procedure,,Regimen_Has_Accepted_Use_For_Disease,role,"A regimen consisting of leucovorin, fluorouracil and oxaliplatin (FOLFOX) plus encorafenib and panitumumab that is used for the treatment of colorectal cancer, appendiceal cancer, and small bowel adenocarcinoma.",18,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C215162
C136247,FOLFOX-Panitumumab Regimen,True,DEFAULT,Therapeutic or Preventive Procedure,,Regimen_Has_Accepted_Use_For_Disease,role,"A regimen consisting of leucovorin, fluorouracil and oxaliplatin (FOLFOX), plus panitumumab that is used for the treatment of colon cancer.",11,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C136247
C136252,FOLFOXIRI Regimen,True,DEFAULT,Therapeutic or Preventive Procedure,,Regimen_Has_Accepted_Use_For_Disease,role,"A regimen consisting of fluorouracil, leucovorin, oxaliplatin and irinotecan (FOLFOXIRI) that is used for the treatment of colon cancer.",7,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C136252
C136253,FOLFOXIRI-Bevacizumab Regimen,True,DEFAULT,Therapeutic or Preventive Procedure,,Regimen_Has_Accepted_Use_For_Disease,role,"A regimen consisting of fluorouracil, leucovorin, oxaliplatin and irinotecan (FOLFOXIRI), plus bevacizumab that is used for the treatment of colon cancer.",10,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C136253
C161591,FOLFOXIRI-Cetuximab Regimen,True,DEFAULT,Therapeutic or Preventive Procedure,,Regimen_Has_Accepted_Use_For_Disease,role,"A regimen consisting of fluorouracil, leucovorin, oxaliplatin and irinotecan (FOLFOXIRI), plus cetuximab that may be used in the treatment of certain types of colon and rectal cancers, and appendiceal cancer.",7,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C161591
C161590,FOLFOXIRI-Panitumumab Regimen,True,DEFAULT,Therapeutic or Preventive Procedure,,Regimen_Has_Accepted_Use_For_Disease,role,"A regimen consisting of fluorouracil, leucovorin, oxaliplatin and irinotecan (FOLFOXIRI), plus panitumumab that may be used in the treatment of certain types of colon and rectal cancers, and appendiceal cancer.",8,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C161590
C63388,FU-LV Regimen,True,DEFAULT,Therapeutic or Preventive Procedure,C1880666,Regimen_Has_Accepted_Use_For_Disease,role,"A regimen consisting of fluorouracil and leucovorin, used in both the adjuvant and metastatic disease setting, for the treatment of colorectal cancer, cervical cancer, biliary tract cancer, and vaginal cancer. This regimen is also combined with radiation for the treatment of colorectal, gastric and esophageal cancer. | An abbreviation for a chemotherapy combination used with other types of therapy to treat colorectal cancer. It includes the drugs fluorouracil and leucovorin. The Mayo Clinic regimen, Roswell Park regimen, and de Gramont regimen are different in the doses and times at which the two drugs are given.",15,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C63388
C63610,FU-LV-Bevacizumab Regimen,True,DEFAULT,Therapeutic or Preventive Procedure,C1880665,Regimen_Has_Accepted_Use_For_Disease,role,"A regimen consisting of fluorouracil, leucovorin, and bevacizumab used for the treatment of advanced-stage colorectal cancer.",15,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C63610
C156240,FUOX Regimen,True,DEFAULT,Therapeutic or Preventive Procedure,,Regimen_Has_Accepted_Use_For_Disease,role,"A regimen consisting of 5-fluorouracil and oxaliplatin that may be used for the treatment of colorectal, esophageal and esophagogastric junction, gastric and hepatobiliary cancers.",8,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C156240
