source,source_label,relation_code,relation_type,relation_label_cn,target,target_label,relation_group,direction,research_tier
C213379,Adenocarcinoma in Rectal Adenomatous Polyp,R115,Disease_May_Have_Finding,可伴随 finding,C78438,Lower Gastrointestinal Hemorrhage,role,out,biomedical
C213379,Adenocarcinoma in Rectal Adenomatous Polyp,R115,Disease_May_Have_Finding,可伴随 finding,C27054,Rectal Hemorrhage,role,out,biomedical
C213379,Adenocarcinoma in Rectal Adenomatous Polyp,R89,Disease_May_Have_Molecular_Abnormality,可伴随分子异常,C40430,BRAF Gene Mutation,role,out,biomedical
C213379,Adenocarcinoma in Rectal Adenomatous Polyp,R89,Disease_May_Have_Molecular_Abnormality,可伴随分子异常,C36683,Inactivating APC Gene Mutation,role,out,biomedical
C213379,Adenocarcinoma in Rectal Adenomatous Polyp,R89,Disease_May_Have_Molecular_Abnormality,可伴随分子异常,C36665,KRAS Gene Amplification,role,out,biomedical
C213379,Adenocarcinoma in Rectal Adenomatous Polyp,R89,Disease_May_Have_Molecular_Abnormality,可伴随分子异常,C43597,MYC Gene Mutation,role,out,biomedical
C213379,Adenocarcinoma in Rectal Adenomatous Polyp,R89,Disease_May_Have_Molecular_Abnormality,可伴随分子异常,C36329,TP53 Gene Inactivation,role,out,biomedical
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,A8,Concept_In_Subset,Concept_In_Subset,C126659,NCIt Neoplasm Core Terminology,association,out,metadata
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R139,Disease_Excludes_Abnormal_Cell,Disease_Excludes_Abnormal_Cell,C36771,Malignant Squamous Cell,role,out,constraint
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R139,Disease_Excludes_Abnormal_Cell,Disease_Excludes_Abnormal_Cell,C37153,Malignant Stromal Cell,role,out,constraint
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R139,Disease_Excludes_Abnormal_Cell,Disease_Excludes_Abnormal_Cell,C36937,Neoplastic Smooth Muscle Cell,role,out,constraint
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R139,Disease_Excludes_Abnormal_Cell,Disease_Excludes_Abnormal_Cell,C36760,Neoplastic Squamous Cell,role,out,constraint
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R142,Disease_Excludes_Finding,Disease_Excludes_Finding,C36122,Benign Cellular Infiltrate,role,out,constraint
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R142,Disease_Excludes_Finding,Disease_Excludes_Finding,C155862,Intermediate Grade Neuroendocrine Lesion,role,out,constraint
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R142,Disease_Excludes_Finding,Disease_Excludes_Finding,C36117,Invasive Lesion,role,out,constraint
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R142,Disease_Excludes_Finding,Disease_Excludes_Finding,C155864,Low Grade Neuroendocrine Lesion,role,out,constraint
